n_agents,n_prices,memory,n_steps,convergence_check_window,seed,delta,avg_profit_mean,p_nash,p_monop
2,8,1,50000,10000,4,0.3282968351518417,0.2614038156498375,1.476,1.924
2,8,1,50000,10000,1,0.29529054767443813,0.25766508907762664,1.476,1.924
2,8,1,50000,10000,2,0.3049397975702828,0.25875809013120454,1.476,1.924
2,8,1,50000,10000,0,0.3310556150756858,0.26171631137705975,1.476,1.924
2,8,1,50000,10000,3,0.3138253000992866,0.2597645791050213,1.476,1.924
3,8,1,50000,10000,0,0.2552856753115064,0.15373515139836824,1.3719999999999999,2.0
3,8,1,50000,10000,2,0.25361991862282274,0.15351982881072987,1.3719999999999999,2.0
3,8,1,50000,10000,1,0.25490710446108644,0.15368621576708988,1.3719999999999999,2.0
3,8,1,50000,10000,3,0.2613110127415794,0.1545140113937394,1.3719999999999999,2.0
3,8,1,50000,10000,4,0.25742348824614447,0.15401149392552135,1.3719999999999999,2.0
4,8,1,50000,10000,2,0.2061402178686767,0.1062263901464106,1.332,2.056
4,8,1,50000,10000,1,0.20482575338352454,0.10606929641129037,1.332,2.056
4,8,1,50000,10000,0,0.20564120838973396,0.1061667527322446,1.332,2.056
4,8,1,50000,10000,3,0.20708374547977934,0.10633915262747529,1.332,2.056
4,8,1,50000,10000,4,0.20767869911771283,0.10641025648023211,1.332,2.056
