n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,10,1,100000,15000,0.05,0.95,4e-06,0,0.3354632820722636,0.26221558175797866,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,1,0.3232068739425142,0.2608272596455349,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,2,0.3219401435314987,0.26068377308556556,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,3,0.33928531894321406,0.26264851596238364,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,4,0.3376749776003254,0.2624661075054159,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,5,0.3442486777119732,0.263210731307835,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,6,0.31633153703093914,0.26004846848879526,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,7,0.339772309835641,0.2627036789609847,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,3,0.3415844554339225,0.26290894642421114,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,2,0.33958712903017463,0.26268270294547447,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,0,0.3635494440034385,0.26539699014858875,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,8,0.30838689908600614,0.2591485542221074,1.476,1.924
2,10,1,100000,15000,0.05,0.95,4e-06,9,0.31873333757931915,0.2603205280331329,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,1,0.3147436005777592,0.2598685979045452,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,4,0.3524705414127959,0.2641420478126799,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,5,0.3449746715578111,0.2632929669268683,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,6,0.35060306619953086,0.2639305129889722,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,8,0.3173243869946667,0.2601609317442931,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,7,0.35323650693611564,0.2642288111500408,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,1,0.31421817757944476,0.2598090815797603,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,0,0.3179897948048366,0.26023630459144964,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,2,0.31398995670815755,0.2597832302798709,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,9,0.3050581655966107,0.25877149805191163,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,3,0.3219221808947188,0.2606817384008867,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,4,0.3159458487271339,0.2600047803547991,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,5,0.31255720327363434,0.2596209377669445,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,7,0.31374480828747925,0.25975546154292484,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,6,0.3142883154050401,0.2598170263130918,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,0,0.3165363637707168,0.2600716698614195,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,8,0.3252783209081109,0.26106189899473475,1.476,1.924
2,10,1,100000,15000,0.3,0.95,4e-06,9,0.31667236250144454,0.26008707486777494,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,1,0.32233422135255824,0.2607284115267148,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,4,0.32682323054832824,0.2612368957957988,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,3,0.32815417671437236,0.26138765627743665,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,2,0.3148694712453917,0.2598828556731616,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,5,0.30793469411732266,0.25909733153510695,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,7,0.317121527494392,0.2601379532071092,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,8,0.32253230935693017,0.2607508495814669,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,9,0.32095250618871624,0.2605719002801282,1.476,1.924
2,10,1,100000,15000,0.5,0.95,4e-06,6,0.31189461588046713,0.25954588439734205,1.476,1.924
