n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,10,1,100000,15000,0.15,0.95,1e-06,2,0.3267320270864857,0.26122656489122487,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,5,0.3220442216330229,0.2606955623412951,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,3,0.33086917501567126,0.2616951927218042,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,1,0.3221104382764672,0.26070306290992273,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,4,0.3252826868548027,0.2610623935393248,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,0,0.33091425261374846,0.2617002988039062,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,6,0.32391466493264537,0.26090743336953176,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,7,0.3334468397507531,0.2619871729587787,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,8,0.3298883938717824,0.2615840965396998,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1e-06,9,0.31986164837259834,0.2604483353652187,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,2,0.33958712903017463,0.26268270294547447,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,0,0.3635494440034385,0.26539699014858875,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,1,0.3147436005777592,0.2598685979045452,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,3,0.3415844554339225,0.26290894642421114,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,4,0.3524705414127959,0.2641420478126799,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,5,0.3449746715578111,0.2632929669268683,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,8,0.3173243869946667,0.2601609317442931,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,6,0.35060306619953086,0.2639305129889722,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,1,0.41467834402364867,0.27118852236027235,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,0,0.3069972862829247,0.2589911483849462,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,9,0.3050581655966107,0.25877149805191163,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,2,0.24530454274776953,0.25200301620784565,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,7,0.35323650693611564,0.2642288111500408,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,3,0.2248149752671063,0.24968209809654618,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,7,0.3692084313915029,0.26603800154782736,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,6,0.3029117830786839,0.25852837051569916,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,4,0.28688588650320584,0.25671306652517123,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,5,0.23020330581319898,0.25029245133928285,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,8,0.33963843431993573,0.26268851445790997,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,0,0.41498378823206167,0.2712231209917938,1.476,1.924
2,10,1,100000,15000,0.15,0.95,2e-05,9,0.2929429645284011,0.25739917090992687,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,1,0.421653885635984,0.2719786640203865,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,2,0.3882278012068997,0.26819238571975856,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,3,0.7082074657616596,0.3044374943299592,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,4,0.5152075098589499,0.28257577892003977,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,5,0.6944979561922052,0.30288457482168707,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,6,0.5479026928304759,0.2862792657009334,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,7,0.3244795803732897,0.2609714231281629,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,8,0.32442051987094134,0.26096473315827007,1.476,1.924
2,10,1,100000,15000,0.15,0.95,0.0001,9,0.4683109679184413,0.2772636592938075,1.476,1.924
