n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,10,1,100000,15000,0.15,0.95,4e-06,0,0.3635494440034385,0.26539699014858875,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,1,0.3147436005777592,0.2598685979045452,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,2,0.33958712903017463,0.26268270294547447,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,3,0.3415844554339225,0.26290894642421114,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,4,0.3524705414127959,0.2641420478126799,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,5,0.3449746715578111,0.2632929669268683,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,6,0.35060306619953086,0.2639305129889722,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,7,0.35323650693611564,0.2642288111500408,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,8,0.3173243869946667,0.2601609317442931,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,9,0.3050581655966107,0.25877149805191163,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,1,0.31953443339436965,0.2604112706897454,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,0,0.3190045989256516,0.26035125466375564,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,3,0.325662827117524,0.26110545322916046,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,4,0.3160741211497152,0.26001931017779467,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,2,0.31507701235180546,0.2599063645106795,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,5,0.3080363239502698,0.25910884346771157,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,6,0.3108892677687945,0.2594320054370983,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,7,0.3175530318135969,0.2601868310660729,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,8,0.32030291639880315,0.26049831919015415,1.476,1.924
2,10,2,100000,15000,0.15,0.95,4e-06,9,0.3147175188128209,0.2598656435405413,1.476,1.924
