n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,10,1,100000,15000,0.15,0.95,4e-06,1,0.3147436005777592,0.2598685979045452,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,6,0.35060306619953086,0.2639305129889722,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,2,0.33958712903017463,0.26268270294547447,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,0,0.3635494440034385,0.26539699014858875,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,3,0.3415844554339225,0.26290894642421114,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,4,0.3524705414127959,0.2641420478126799,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,7,0.35323650693611564,0.2642288111500408,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,5,0.3449746715578111,0.2632929669268683,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,8,0.3173243869946667,0.2601609317442931,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,9,0.3050581655966107,0.25877149805191163,1.476,1.924
3,10,1,100000,15000,0.15,0.95,4e-06,0,0.27362451685244066,0.15610570577867483,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,4,0.26344938249262806,0.1547904258972809,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,1,0.26249169650867393,0.15466663145262347,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,2,0.2605599250431996,0.1544169226965382,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,3,0.2661737487425999,0.15514258872790543,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,5,0.2583957781122178,0.15413717612828226,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,6,0.264596383715462,0.15493869201141558,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,7,0.26512040061523134,0.15500642859959265,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,8,0.2656279779908775,0.1550720401470013,1.3719999999999999,2.0
3,10,1,100000,15000,0.15,0.95,4e-06,9,0.2651256257587895,0.15500710402322407,1.3719999999999999,2.0
4,10,1,100000,15000,0.15,0.95,4e-06,0,0.20968075286496343,0.10664952509845622,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,1,0.21328616016716262,0.10708041304265706,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,2,0.20939648472910433,0.10661555176274258,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,3,0.20872276557333122,0.10653503451804107,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,4,0.20712223253598225,0.10634375227659551,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,5,0.205053228958926,0.10609648237804117,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,6,0.2101659240756437,0.10670750867923723,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,7,0.21053582167544752,0.10675171572797956,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,8,0.2075148209935242,0.10639067114572967,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,9,0.20229903382020006,0.10576732414936346,1.332,2.056
5,10,1,100000,15000,0.15,0.95,4e-06,0,0.08227542075803672,0.07048572784936653,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,1,0.08140339185024822,0.07039169524421537,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,2,0.0789671814183263,0.07012899384571357,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,3,0.08020011338188575,0.07026194334253891,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,5,0.07825663889372185,0.07005237463726474,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,4,0.07852029645668576,0.07008080535474655,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,6,0.07962777935927928,0.07020022743073637,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,7,0.08024485123178805,0.07026676751354699,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,8,0.07928037293473073,0.07016276590755201,1.312,2.096
5,10,1,100000,15000,0.15,0.95,4e-06,9,0.07801617065935368,0.0700264444710377,1.312,2.096
6,10,1,100000,15000,0.15,0.95,4e-06,0,-0.016600351431100918,0.047878141283624776,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,1,-0.019049043151408648,0.04763914922450927,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,2,-0.01939332002485511,0.04760554783720175,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,3,-0.02073027551722661,0.04747506111916463,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,4,-0.01762901211984011,0.047777744106595875,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,5,-0.01805066101538909,0.047736591217918505,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,6,-0.018488088469424124,0.04769389834356177,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,7,-0.020158638263500343,0.04753085285611631,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,8,-0.020886995493260074,0.04745976526568247,1.3,2.132
6,10,1,100000,15000,0.15,0.95,4e-06,9,-0.018456822509912933,0.04769694989798237,1.3,2.132
