n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,5,1,100000,15000,0.15,0.95,4e-06,3,0.2685925863314993,0.2546409265581358,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,1,0.25663147012710336,0.2532860530960025,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,2,0.2586377755522086,0.25351331365688645,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,6,0.25980149487405124,0.25364513182498993,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,0,0.2643444603319858,0.25415972789053787,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,4,0.2648637824230284,0.25421855314626063,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,5,0.2371613570847078,0.25108061181317454,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,7,0.24653602164551483,0.2521425097174162,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,8,0.2567238355611703,0.25329651562084526,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,4,0.3524705414127959,0.2641420478126799,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,0,0.3635494440034385,0.26539699014858875,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,3,0.3415844554339225,0.26290894642421114,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,1,0.3147436005777592,0.2598685979045452,1.476,1.924
2,5,1,100000,15000,0.15,0.95,4e-06,9,0.2572625566832829,0.253357538266171,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,2,0.33958712903017463,0.26268270294547447,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,5,0.3449746715578111,0.2632929669268683,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,6,0.35060306619953086,0.2639305129889722,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,8,0.3173243869946667,0.2601609317442931,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,7,0.35323650693611564,0.2642288111500408,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,0,0.34691665105535574,0.2635129410864926,1.476,1.924
2,10,1,100000,15000,0.15,0.95,4e-06,9,0.3050581655966107,0.25877149805191163,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,1,0.3467096026258603,0.26348948805604744,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,2,0.3460980822396207,0.2634202192078303,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,3,0.3459406712302713,0.26340238876495436,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,4,0.3292846750370645,0.26151571139789764,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,5,0.32736480603858237,0.2612982417644315,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,7,0.34578955631106406,0.2633852715001216,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,6,0.3220873273417852,0.2607004450612579,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,8,0.33158903781353677,0.2617767338576429,1.476,1.924
2,15,1,100000,15000,0.15,0.95,4e-06,9,0.32707690120015875,0.26126562987282087,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,0,0.3577807128679542,0.26474354772799114,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,1,0.34394560377164457,0.263176401164076,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,2,0.34509307489073987,0.26330637884686575,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,4,0.343527940324494,0.2631290911044647,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,5,0.3353210806526397,0.2621994741534346,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,3,0.3553211293798192,0.2644649429273162,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,6,0.3296966643267303,0.26156237872774485,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,7,0.3539168368963436,0.264305874276329,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,8,0.36314444225787856,0.26535111431996206,1.476,1.924
2,20,1,100000,15000,0.15,0.95,4e-06,9,0.33536781736321436,0.2622047681684565,1.476,1.924
