n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,10,1,100000,15000,0.15,0.95,1.0,0,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,3,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,2,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,1,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,4,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,5,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,6,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,7,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,8,-0.5775902724169464,0.15879111790825284,1.476,1.924
2,10,1,100000,15000,0.15,0.95,1.0,9,-0.5775902724169464,0.15879111790825284,1.476,1.924
