n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,5,1,100000,15000,0.5,0.95,1e-06,1,0.24715005868319057,0.25221206363470094,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,0,0.2530379875768451,0.25287900796235563,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,3,0.25681592530238595,0.25330694691708683,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,2,0.25452620465381265,0.25304758301747765,1.476,1.924
2,5,1,100000,15000,0.5,0.95,1e-06,4,0.25015011940742754,0.2525518900012873,1.476,1.924
6,5,1,100000,15000,0.05,0.95,0.0001,1,-0.15605561907677806,0.034267321557835136,1.3,2.132
6,5,1,100000,15000,0.05,0.95,0.0001,2,-0.12159859461156218,0.037630323588527616,1.3,2.132
6,5,1,100000,15000,0.05,0.95,0.0001,0,-0.21800762383931171,0.028220812288522176,1.3,2.132
4,10,1,100000,15000,0.15,0.95,4e-06,0,0.20968075286496343,0.10664952509845622,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,1,0.21328616016716262,0.10708041304265706,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,2,0.20939648472910433,0.10661555176274258,1.332,2.056
6,5,1,100000,15000,0.05,0.95,0.0001,4,-0.0750590765792244,0.04217257574405544,1.3,2.132
6,5,1,100000,15000,0.05,0.95,0.0001,3,-0.07136656597395984,0.04253296439793917,1.3,2.132
4,10,1,100000,15000,0.15,0.95,4e-06,3,0.20872276557333122,0.10653503451804107,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,4,0.20712223253598225,0.10634375227659551,1.332,2.056
4,5,1,100000,15000,0.05,0.95,1e-06,0,0.16455636314781474,0.10125663772435044,1.332,2.056
4,5,1,100000,15000,0.05,0.95,1e-06,1,0.1643956650488505,0.10123743243970548,1.332,2.056
2,15,2,100000,15000,0.3,0.95,0.0001,0,-0.00535045344928481,0.22361053203703707,1.476,1.924
4,5,1,100000,15000,0.05,0.95,1e-06,2,0.16496100415221446,0.10130499701247268,1.332,2.056
4,5,1,100000,15000,0.05,0.95,1e-06,3,0.16515469381608147,0.10132814517135773,1.332,2.056
2,15,2,100000,15000,0.3,0.95,0.0001,1,-0.022236013443773933,0.22169785125216307,1.476,1.924
4,5,1,100000,15000,0.05,0.95,1e-06,4,0.16313519084453335,0.10108679116866653,1.332,2.056
2,15,2,100000,15000,0.3,0.95,0.0001,2,-0.0723690755613824,0.2160191207492636,1.476,1.924
2,15,2,100000,15000,0.3,0.95,0.0001,3,0.007722691111334534,0.22509136846811412,1.476,1.924
2,15,2,100000,15000,0.3,0.95,0.0001,4,-0.14249977589543208,0.2080751945186576,1.476,1.924
3,10,1,100000,15000,0.3,0.95,4e-06,0,0.2687432770345048,0.15547473656473038,1.3719999999999999,2.0
