n_agents,replace_fraction,replace_type,pre_delta,final_delta,n
2,0.0,naive,0.3373157780638338,0.28845931166946126,10
2,0.34,competitive,0.3373157780638338,0.12479855722416797,10
2,0.34,naive,0.3373157780638338,0.31287496681624916,10
2,0.5,competitive,0.3373157780638338,0.12479855722416797,10
2,0.5,naive,0.3373157780638338,0.31287496681624916,10
2,1.0,competitive,0.3373157780638338,0.1003925267594098,10
2,1.0,naive,0.3373157780638338,0.32597969485362704,10
3,0.0,naive,0.2631856213316538,0.2521264579553891,10
3,0.34,competitive,0.2631856213316538,0.04676100175066964,10
3,0.34,naive,0.2631856213316538,0.25294063423737345,10
3,0.5,competitive,0.2631856213316538,-0.05179868105916462,10
3,0.5,naive,0.2631856213316538,0.25862827196859756,10
3,1.0,competitive,0.2631856213316538,-0.07265252981141573,10
3,1.0,naive,0.2631856213316538,0.26928469702816676,10
4,0.0,naive,0.2070901986171695,0.18956760112314536,10
4,0.34,competitive,0.2070901986171695,0.06744298335378693,10
4,0.34,naive,0.2070901986171695,0.19289559816446847,10
4,0.5,competitive,0.2070901986171695,0.014537762661745024,10
4,0.5,naive,0.2070901986171695,0.19811120208027977,10
4,1.0,competitive,0.2070901986171695,-0.03042342145313322,10
4,1.0,naive,0.2070901986171695,0.21571093373423125,10
